category;count;total_value_eur;avg_score
Altro;38755;141349134652.0;56.06
Infrastrutture / parcheggi;34426;89163532280.0;81.23
Residenziale pubblico / ERS;27496;30034341565.0;80.41
Riqualificazione urbana;18312;32643774945.0;81.52
Scuole / formazione;17609;31194447763.0;81.56
Ambiente / rifiuti / depurazione;16524;48163146252.0;81.85
Energia;6253;32575086261.0;57.47
Sanità / RSA;5570;16962582906.0;82.53
Sport / impianti sportivi;4805;5293905799.0;81.09
Cultura / centri civici;3960;5128554415.0;81.1
Edilizia pubblica;3414;5799429018.0;81.11
Industriale / logistica;362;875030135.0;80.73
