category;count;total_value_eur;avg_score
Altro;212251;781332586686.0;56.16
Infrastrutture / parcheggi;173963;468957415249.0;81.5
Ambiente / rifiuti / depurazione;118476;314906199338.0;82.37
Riqualificazione urbana;97959;175746902039.0;82.13
Residenziale pubblico / ERS;97698;149415480954.0;79.75
Scuole / formazione;96392;162329683072.0;81.6
Energia;41941;151771976636.0;57.29
Sanità / RSA;31065;94126355464.0;82.64
Sport / impianti sportivi;28324;32791105433.0;81.3
Cultura / centri civici;16936;33186775036.0;81.32
Edilizia pubblica;12881;17354939514.0;80.9
Industriale / logistica;3476;10980746240.0;81.39
