region;count;total_value_eur;avg_score
LOMBARDIA;105916;258217160331.0;74.06
CAMPANIA;85009;260513498241.0;75.72
SICILIA;79748;236135453774.0;74.32
LAZIO;68344;186125129083.0;74.6
VENETO;67428;157382860953.0;74.19
EMILIA-ROMAGNA;62129;135049544697.0;74.9
PIEMONTE;53661;125369064097.0;74.11
PUGLIA;52130;146995964165.0;73.98
TOSCANA;48957;107440919108.0;74.56
CALABRIA;43800;131156541482.0;75.58
ABRUZZO;40571;95263355052.0;76.53
SARDEGNA;40027;79544493014.0;74.74
MARCHE;38034;63849153847.0;76.2
FRIULI-VENEZIA GIULIA;33240;72418063007.0;73.27
TRENTINO-ALTO ADIGE;32185;76203942845.0;73.23
UMBRIA;21035;42827585532.0;74.6
LIGURIA;21019;72865462107.0;75.23
BASILICATA;16494;44974669378.0;75.15
MOLISE;10941;25799883586.0;75.11
TUTTE;5424;53204086501.0;70.67
VALLE D'AOSTA;5270;21563334861.0;75.49
